pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age
14.3,0.2484213584984782,0.2592,652.72,1.6000000000000003,5549.0,0.2899999999999999,4.334
13.30506009,0.2776317365982795,0.0,1074.0,0.04823,5281.0,0.905,4.7
2.86,1.1019400787607845,0.0,1201.0,0.057,5790.0,0.978,7.59
3.18,1.01160091167848,0.09,565.0,0.198,5103.0,0.8200000000000001,6.0
12.8,1.724550719534605,0.084,380.0,0.768,6273.0,1.2,2.5135
1.21612741,1.635105659182678,0.0,1269.21,0.0378,5785.0,0.9196,5.1
1.06,1.8625285401162623,0.17,442.9,0.036467,3382.0,0.2899999999999999,4.343999999999999
8.71664516,0.688134638736401,0.0,1264.29,0.034,5394.0,0.9835,4.9
12.4,2.379546134130174,0.37,889.3,0.102,6412.0,1.33,1.44
1.18,1.9300710850255671,0.0279259999999999,634.0,0.01541,3200.0,0.254,2.0
1.04,1.867176108512809,0.0,1733.0,0.01553,5160.0,0.83,4.79
1.37,1.8309801823813363,0.0,954.0,0.16005,6130.0,1.29,3.55
2.49,1.2267122912954256,0.062,363.0,0.28149,4931.0,0.7889999999999999,4.3
13.4,0.9282193027394288,0.157,223.11,3.787,5732.0,1.053,4.192
11.39953337,0.5653138090500605,0.08,1676.05,0.102,5966.0,1.53,2.3
14.0,0.2271355725837472,0.34527,670.11,2.1500000000000004,5549.0,0.48,3.8443
2.597,1.1878434223960523,0.1079,938.4509999999998,0.102,5007.0,0.952,5.860200000000001
5.07,0.6693666518945418,0.0822199999999999,714.0,0.04018,3895.0,0.5819999999999999,9.8
11.948794,0.6205764877251099,0.133,420.0,0.4021,5625.0,0.96,6.0
10.52,0.636576829071551,0.04,542.4,0.2672,5720.0,1.063,4.4
1.66,1.623340817603092,0.0,1327.0,0.0473,5887.0,1.09,2.5
10.17,0.0769610411361283,0.0124,527.0,0.2689,4970.0,1.1,0.02
4.65,0.7275486072772778,0.0,1060.0,0.0734,6146.0,1.15,2.82
12.55405838,1.308332819650179,0.0,1001.0,0.0384,4672.0,0.77,4.675000000000001
2.67,0.8671004876833832,0.0049,547.0,0.0648,4540.0,0.73,2.0
