pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
Kepler-732 b,Kepler-732,2.18,1.3506671834767394,0.0,407.0,0.0691,3631.0,0.49,4.47,0.46089649745691563
Kepler-732 c,Kepler-732,1.27,1.912501086924184,0.0,893.0,0.0143,3631.0,0.49,4.47,0.4383721388314685
Kepler-733 b,Kepler-733,2.82,1.11514159061932,0.0,595.0,0.1483,5418.0,0.9,4.27,0.377494478277658
Kepler-734 b,Kepler-734,3.56,0.9202827531436926,0.0,784.0,0.0583,5326.0,0.8500000000000001,2.34,0.3016433842076078
Kepler-735 b,Kepler-735,2.95,1.075002423028976,0.0,657.0,0.0965,5107.0,0.8500000000000001,4.37,0.35376707493220805
Kepler-736 b,Kepler-736,2.93,1.0818051703517284,0.0,996.0,0.0428,5217.0,0.86,4.27,0.28824074729726973
Kepler-737 b,Kepler-737,1.96,1.4539530095937054,0.0,298.0,0.1422,3813.0,0.51,3.89,0.6819836580517307
Kepler-738 b,Kepler-738,2.5,1.2208299213923592,0.0,530.0,0.1552,5327.0,0.86,4.57,0.4068464810170042
Kepler-739 b,Kepler-739,3.32,0.9745596399981308,0.0,775.0,0.1054,5601.0,0.9300000000000002,4.27,0.31391987220506434
Kepler-74 b,Kepler-74,10.76,0.6312717768418579,0.0,1078.0,0.0781,6000.0,1.18,0.8,0.21222662999253772
Kepler-740 b,Kepler-740,4.57,0.7371640659767197,0.0,1131.0,0.0462,5438.0,0.91,4.79,0.253059574345995
Kepler-741 b,Kepler-741,2.97,1.068153081183401,0.0,1051.0,0.0744,6129.0,1.16,3.16,0.27744758306778755
Kepler-742 b,Kepler-742,3.24,0.9969486348916092,0.0,690.0,0.0744,4642.0,0.76,2.57,0.3333067600268942
Kepler-743 b,Kepler-743,1.21,1.9401794743463283,0.0,1101.0,0.04166,5486.0,0.94,1.86,0.43283584726748775
Kepler-744 b,Kepler-744,1.62,1.6505798557652755,0.0,750.0,0.09735,5594.0,0.94,5.13,0.456129657683151
Kepler-745 b,Kepler-745,2.16,1.3609765531356006,0.0,931.0,0.0915,5849.0,1.04,4.07,0.35250375896740993
Kepler-746 b,Kepler-746,1.11,1.8976198599275325,0.0,1156.0,0.0435,5418.0,0.91,8.71,0.42478681139499747
Kepler-747 b,Kepler-747,5.27,0.6444820085786643,0.0,456.0,0.1916,5096.0,0.8200000000000001,4.79,0.3843344011803489
Kepler-748 b,Kepler-748,2.52,1.2149127443642704,0.0,938.0,0.0745,5934.0,1.07,3.72,0.3152918431258271
Kepler-749 b,Kepler-749,3.1,1.0331844833456545,0.0,454.0,0.1054,5009.0,0.79,4.57,0.38502168046352375
Kepler-75 b,Kepler-75,11.77,2.4849066497880004,0.57,767.0,0.0818,5200.0,0.91,6.2,0.21528463721796842
Kepler-750 b,Kepler-750,3.07,1.0402767116551463,0.0,1163.0,0.08742,6160.0,1.15,3.09,0.2670150824213167
Kepler-750 c,Kepler-750,1.62,1.6505798557652755,0.0,1537.0,0.05009,6160.0,1.15,3.09,0.3849621823655531
Kepler-751 b,Kepler-751,2.46,1.235471471385307,0.0,679.0,0.1263,5387.0,0.87,4.47,0.3786425373235856
