pl_name,hostname,pl_rade,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_lum,st_mass,st_age,pl_bmasse,pl_dens,pl_insol,pl_orbper,st_rad
OGLE-2019-BLG-1053L b,OGLE-2019-BLG-1053L,1.38,0.2265,59.44,3.4000000000000004,5549.0,-0.07632,0.61,9.3445,1.247032293786383,1.8229350866965048,0.0412139831533562,2.4950335327117,0.668536814587228
OGLE-2019-BLG-1470L AB c,OGLE-2019-BLG-1470L A,13.3,0.2476,59.94,3.2000000000000006,5549.0,-0.07632,0.57,6.722,6.551398135111042,0.9669838461896731,0.04851156725546708,2.4950335327117,0.668536814587228
OGLE-2019-BLG-1492L b,OGLE-2019-BLG-1492L,6.79,0.2192999999999999,566.6,2.7000000000000006,5549.0,-0.07632,0.6800000000000002,6.3163,3.6402142821326553,0.501381164937991,3.482464113263221,2.4950335327117,0.668536814587228
OGLE-2023-BLG-0836L b,OGLE-2023-BLG-0836L,12.9,0.3515,633.4100000000001,3.7,5549.0,-0.07632,0.71,6.818299999999999,7.234705073953395,1.515127232962859,3.381174045106311,2.4950335327117,0.668536814587228
OGLE-TR-10 b,OGLE-TR-10,14.011,0.0,1702.0,0.0434,5950.0,0.188,1.14,3.1,5.288499326943995,0.33647223662121295,7.213420446279761,1.4112986324567025,0.7747271675523681
OGLE-TR-111 b,OGLE-TR-111,11.421971,0.0,1019.0,0.0473,5040.0,-0.33862,0.8200000000000001,8.8,5.1693412969527595,0.5007752879124893,5.393912121042559,1.612323006544723,0.6043159668533296
OGLE-TR-113 b,OGLE-TR-113,12.251,0.0,1342.0,0.02289,4790.0,-0.529,0.779,13.2,5.995080501657358,0.7884573603642702,6.271772056691215,0.8889093397536973,0.5732368838873878
OGLE-TR-182 b,OGLE-TR-182,12.666,0.0,1550.0,0.051,5924.0,0.24059,1.14,4.3,5.774536017473538,0.3435897043900769,6.653289688178336,1.6052491518126457,0.76080582903376
OGLE-TR-211 b,OGLE-TR-211,15.244,0.0,1686.0,0.051,6325.0,0.26657,1.33,2.6,5.794083158163028,0.3506568716131693,7.1273379257668905,1.5427081923726602,0.9707789171582246
OGLE-TR-56 b,OGLE-TR-56,15.278,0.0,2212.0,0.02383,6050.0,0.35,1.228,3.0,6.093050447861794,0.5187937934151676,8.266069751403446,0.7938604193351573,0.8599319982047708
OGLE2-TR-L9 b,OGLE2-TR-L9,18.046,0.09749,2034.0,0.0308,6933.0,0.51197,1.5200000000000002,1.0,7.266251064182805,0.8109302162163288,8.327572468404398,1.2486211171447217,0.9282193027394289
